block_number,total_supply,timestamp,time
14136062,0,1643931891,2022-02-03 23:44:51
14142662,0,1644018688,2022-02-04 23:51:28
14149062,0,1644105433,2022-02-05 23:57:13
14155562,0,1644191250,2022-02-06 23:47:30
14162062,1000000000,1644278169,2022-02-07 23:56:09
14168462,1000000000,1644364007,2022-02-08 23:46:47
14174962,1000000000,1644450767,2022-02-09 23:52:47
14181362,1000000000,1644536698,2022-02-10 23:44:58
14187862,1000000000,1644622977,2022-02-11 23:42:57
14194362,1000000000,1644709868,2022-02-12 23:51:08
14200862,1000000000,1644796394,2022-02-13 23:53:14
14207262,1000000000,1644882163,2022-02-14 23:42:43
14213762,1000000000,1644968479,2022-02-15 23:41:19
14220262,1000000000,1645055963,2022-02-16 23:59:23
14226662,1000000000,1645141054,2022-02-17 23:37:34
14233162,1000000000,1645228794,2022-02-18 23:59:54
14239562,1000000000,1645315091,2022-02-19 23:58:11
14246062,1000000000,1645401201,2022-02-20 23:53:21
14252462,1000000000,1645487250,2022-02-21 23:47:30
14258962,1000000000,1645574046,2022-02-22 23:54:06
14265462,1000000000,1645660689,2022-02-23 23:58:09
14271862,1000000000,1645746054,2022-02-24 23:40:54
14278362,1000000000,1645833313,2022-02-25 23:55:13
14284762,1000000000,1645918797,2022-02-26 23:39:57
14291262,1000000000,1646005064,2022-02-27 23:37:44
14297662,1000000000,1646091473,2022-02-28 23:37:53
14304162,1000000000,1646177729,2022-03-01 23:35:29
14310562,1000000000,1646264110,2022-03-02 23:35:10
14317062,1000000000,1646351097,2022-03-03 23:44:57
14323562,1000000000,1646437777,2022-03-04 23:49:37
14329962,1000000000,1646524552,2022-03-05 23:55:52
14336362,1000000000,1646610654,2022-03-06 23:50:54
14342762,1000000000,1646696476,2022-03-07 23:41:16
14349162,1000000000,1646782938,2022-03-08 23:42:18
14355662,1000000000,1646869405,2022-03-09 23:43:25
14362162,1000000000,1646956112,2022-03-10 23:48:32
14368462,1000000000,1647041760,2022-03-11 23:36:00
14375062,1000000000,1647129576,2022-03-12 23:59:36
14381362,1000000000,1647215592,2022-03-13 23:53:12
14387762,1000000000,1647301034,2022-03-14 23:37:14
14394162,1000000000,1647387524,2022-03-15 23:38:44
14400562,1000000000,1647474008,2022-03-16 23:40:08
14407062,1000000000,1647561426,2022-03-17 23:57:06
14413462,1000000000,1647647693,2022-03-18 23:54:53
14419862,1000000000,1647733428,2022-03-19 23:43:48
14426362,1000000000,1647820741,2022-03-20 23:59:01
14432762,1000000000,1647907011,2022-03-21 23:56:51
14439162,1000000000,1647992746,2022-03-22 23:45:46
14445562,1000000000,1648078521,2022-03-23 23:35:21
14452062,1000000000,1648166121,2022-03-24 23:55:21
14458462,1000000000,1648252195,2022-03-25 23:49:55
14464862,1000000000,1648338430,2022-03-26 23:47:10
14471262,1000000000,1648424893,2022-03-27 23:48:13
14477762,1000000000,1648511894,2022-03-28 23:58:14
14484162,1000000000,1648597533,2022-03-29 23:45:33
14490562,1000000000,1648684154,2022-03-30 23:49:14
14496962,1000000000,1648770215,2022-03-31 23:43:35
14503462,1000000000,1648857552,2022-04-01 23:59:12
14509762,1000000000,1648943316,2022-04-02 23:48:36
14516162,1000000000,1649029384,2022-04-03 23:43:04
14522562,1000000000,1649116551,2022-04-04 23:55:51
14528962,1000000000,1649202522,2022-04-05 23:48:42
14535362,1000000000,1649288766,2022-04-06 23:46:06
14541762,1000000000,1649374949,2022-04-07 23:42:29
14548162,1000000000,1649462198,2022-04-08 23:56:38
14554562,1000000000,1649548038,2022-04-09 23:47:18
14560962,1000000000,1649634681,2022-04-10 23:51:21
14567362,1000000000,1649720374,2022-04-11 23:39:34
14573862,1000000000,1649807362,2022-04-12 23:49:22
14580162,1000000000,1649893682,2022-04-13 23:48:02
14586562,1000000000,1649979984,2022-04-14 23:46:24
14592962,1000000000,1650066212,2022-04-15 23:43:32
14599362,1000000000,1650152471,2022-04-16 23:41:11
14605862,1000000000,1650239690,2022-04-17 23:54:50
14612162,1000000000,1650325404,2022-04-18 23:43:24
14618562,1000000000,1650411503,2022-04-19 23:38:23
14625062,1000000000,1650499112,2022-04-20 23:58:32
14631262,1000000000,1650584361,2022-04-21 23:39:21
14637762,1000000000,1650671886,2022-04-22 23:58:06
14644062,1000000000,1650757279,2022-04-23 23:41:19
14650462,1000000000,1650844173,2022-04-24 23:49:33
14656762,1000000000,1650930053,2022-04-25 23:40:53
14663162,1000000000,1651017400,2022-04-26 23:56:40
14669462,1000000000,1651102790,2022-04-27 23:39:50
14675862,1000000000,1651189857,2022-04-28 23:50:57
14682262,1000000000,1651276549,2022-04-29 23:55:49
14688562,1000000000,1651362331,2022-04-30 23:45:31
14694962,1000000000,1651448885,2022-05-01 23:48:05
14701362,1000000000,1651535929,2022-05-02 23:58:49
14707662,1000000000,1651621828,2022-05-03 23:50:28
14713962,1000000000,1651708777,2022-05-04 23:59:37
14720162,1000000000,1651793855,2022-05-05 23:37:35
14726562,1000000000,1651881571,2022-05-06 23:59:31
14732762,1000000000,1651967196,2022-05-07 23:46:36
14739062,1000000000,1652053228,2022-05-08 23:40:28
14745262,1000000000,1652139443,2022-05-09 23:37:23
14751462,1000000000,1652225827,2022-05-10 23:37:07
14757862,1000000000,1652313111,2022-05-11 23:51:51
14764062,1000000000,1652399605,2022-05-12 23:53:25
14770362,1000000000,1652485064,2022-05-13 23:37:44
14776662,1000000000,1652572424,2022-05-14 23:53:44
14782962,1000000000,1652658957,2022-05-15 23:55:57
14789262,1000000000,1652745563,2022-05-16 23:59:23
14795462,1000000000,1652830794,2022-05-17 23:39:54
14801762,1000000000,1652917972,2022-05-18 23:52:52
14807862,1000000000,1653004234,2022-05-19 23:50:34
14813962,1000000000,1653089740,2022-05-20 23:35:40
14820162,1000000000,1653176820,2022-05-21 23:47:00
14826262,1000000000,1653262670,2022-05-22 23:37:50
14832562,1994633412,1653350376,2022-05-23 23:59:36
14838562,1994633412,1653435592,2022-05-24 23:39:52
14844762,1994633412,1653522665,2022-05-25 23:51:05
14850862,1994633412,1653609150,2022-05-26 23:52:30
14857062,1994633412,1653695427,2022-05-27 23:50:27
14863262,1994633412,1653782256,2022-05-28 23:57:36
14869362,1994633412,1653867882,2022-05-29 23:44:42
14875462,1994633412,1653954090,2022-05-30 23:41:30
14881662,1994633412,1654041389,2022-05-31 23:56:29
14887762,1994633412,1654127639,2022-06-01 23:53:59
14893862,1994633412,1654213177,2022-06-02 23:39:37
14900062,2989266824,1654300440,2022-06-03 23:54:00
14905962,2989266824,1654386850,2022-06-04 23:54:10
14911862,2989266824,1654472610,2022-06-05 23:43:30
14917662,2989266824,1654558839,2022-06-06 23:40:39
14923662,2989266824,1654646083,2022-06-07 23:54:43
14929462,2989266824,1654731284,2022-06-08 23:34:44
14935362,2989266824,1654819060,2022-06-09 23:57:40
14941262,2989266824,1654905530,2022-06-10 23:58:50
14947062,2989266824,1654991011,2022-06-11 23:43:31
14952962,2989266824,1655078300,2022-06-12 23:58:20
14958762,3989266824,1655164283,2022-06-13 23:51:23
14964462,3989266824,1655249808,2022-06-14 23:36:48
14970262,3989266824,1655336911,2022-06-15 23:48:31
14976062,5989266824,1655423025,2022-06-16 23:43:45
14981962,5989266824,1655509960,2022-06-17 23:52:40
14987762,5989266824,1655596180,2022-06-18 23:49:40
14993462,5989266824,1655682352,2022-06-19 23:45:52
14999362,560813682854544929133792,1655769261,2022-06-20 23:54:21
15004762,560813727492582829991608,1655854350,2022-06-21 23:32:30
15010162,562618072266218358851383,1655941680,2022-06-22 23:48:00
15015462,564109380561420411635347,1656027947,2022-06-23 23:45:47
15020862,564109380561420411635347,1656114693,2022-06-24 23:51:33
15026162,570625013933462736145134,1656200407,2022-06-25 23:40:07
15031462,571841233794720326048239,1656286783,2022-06-26 23:39:43
15036862,572899445609324367031314,1656372888,2022-06-27 23:34:48
15042262,581949669759947374067594,1656460687,2022-06-28 23:58:07
15047562,581949669759947374067594,1656546524,2022-06-29 23:48:44
15053162,581949669759947374067594,1656632675,2022-06-30 23:44:35
15059662,581949669759947374067594,1656719801,2022-07-01 23:56:41
15066162,581949669759947374067594,1656806332,2022-07-02 23:58:52
15072662,581949669759947374067594,1656892196,2022-07-03 23:49:56
15079062,585802508347448438466941,1656978009,2022-07-04 23:40:09
15085562,585991179285955989759867,1657064763,2022-07-05 23:46:03
15092062,586577680465643073016760,1657151492,2022-07-06 23:51:32
15098462,587025701658101504986641,1657237933,2022-07-07 23:52:13
15105062,587208291154539930668259,1657324650,2022-07-08 23:57:30
15111462,587208291154539930668259,1657410932,2022-07-09 23:55:32
15117962,587208291154539930668259,1657497353,2022-07-10 23:55:53
15124462,588487045822379591672913,1657583822,2022-07-11 23:57:02
15130962,589991462709952265825419,1657670243,2022-07-12 23:57:23
15137362,592548883444155325936729,1657756615,2022-07-13 23:56:55
15143862,592548883444155325936729,1657842178,2022-07-14 23:42:58
15150362,592548883444155325936729,1657929583,2022-07-15 23:59:43
15156762,592548883444155325936729,1658015275,2022-07-16 23:47:55
15163162,592548883444155325936729,1658101511,2022-07-17 23:45:11
15169662,592548883444155325936729,1658188434,2022-07-18 23:53:54
15176162,592548883444155325936729,1658275031,2022-07-19 23:57:11
15182562,592548883444155325936729,1658360992,2022-07-20 23:49:52
15189062,592548883444155325936729,1658447622,2022-07-21 23:53:42
15195462,594061522171164384200822,1658533161,2022-07-22 23:39:21
15201962,594061522171164384200822,1658620157,2022-07-23 23:49:17
15208362,594061522171164384200822,1658706530,2022-07-24 23:48:50
15214762,599681146431022245963525,1658792954,2022-07-25 23:49:14
15221162,601913780561331740081821,1658879744,2022-07-26 23:55:44
15227562,603617367786679401812846,1658965466,2022-07-27 23:44:26
15233962,608404582425956110719584,1659051586,2022-07-28 23:39:46
15240462,609979639923237053792948,1659138996,2022-07-29 23:56:36
15246862,611249513220534482937612,1659225035,2022-07-30 23:50:35
15253262,611870663996280977863174,1659311223,2022-07-31 23:47:03
15259662,611870663996280977863174,1659397124,2022-08-01 23:38:44
15266162,611870663996280977863174,1659484464,2022-08-02 23:54:24
15272462,611870663996280977863174,1659569768,2022-08-03 23:36:08
15278862,611870663996280977863174,1659656660,2022-08-04 23:44:20
15285362,616043191649729910521922,1659743013,2022-08-05 23:43:33
15291762,616708734234207097087546,1659829564,2022-08-06 23:46:04
15298262,618221940852294199594329,1659916542,2022-08-07 23:55:42
15304662,620042287004073964740040,1660002652,2022-08-08 23:50:52
15310962,620663427293748366617118,1660088348,2022-08-09 23:39:08
15317362,622613966709480299525106,1660175064,2022-08-10 23:44:24
15323662,623416493293739166932989,1660261549,2022-08-11 23:45:49
15330062,629319856362775146872017,1660348587,2022-08-12 23:56:27
15336462,630985382410769014847665,1660435196,2022-08-13 23:59:56
15342762,632395248638976941488184,1660521352,2022-08-14 23:55:52
15348962,633935919035875149161252,1660606924,2022-08-15 23:42:04
15355362,634929311447811068386462,1660693487,2022-08-16 23:44:47
15361662,635995954670312908665818,1660780067,2022-08-17 23:47:47
15368062,635995954670312908665818,1660867153,2022-08-18 23:59:13
15374262,637796181190450713795247,1660952889,2022-08-19 23:48:09
15380662,638770471542709779449960,1661039888,2022-08-20 23:58:08
15386962,639639977440499075486231,1661125261,2022-08-21 23:41:01
15393262,640853428798789299903939,1661212335,2022-08-22 23:52:15
15399562,641762063234861096282755,1661297854,2022-08-23 23:37:34
15405862,642538991627666368075447,1661384821,2022-08-24 23:47:01
15412062,643259747949747001856184,1661471270,2022-08-25 23:47:50
15418262,644024655729069071633844,1661556761,2022-08-26 23:32:41
15424562,644913946024031400272950,1661644452,2022-08-27 23:54:12
15430762,645792006937078451922258,1661730396,2022-08-28 23:46:36
15437062,647983927662997091081732,1661816422,2022-08-29 23:40:22
15443362,653420809065218051293067,1661903889,2022-08-30 23:58:09
15449562,653989660301116074631583,1661989529,2022-08-31 23:45:29
15455862,659517995530789038263244,1662076545,2022-09-01 23:55:45
15462162,660228558965924495063128,1662163118,2022-09-02 23:58:38
15468362,660988710621018362160343,1662249484,2022-09-03 23:58:04
15474562,661778583245588511448798,1662334829,2022-09-04 23:40:29
15480762,668747167676129115631785,1662421589,2022-09-05 23:46:29
15487062,669218226779445252611783,1662508701,2022-09-06 23:58:21
15493262,670019623666196782433776,1662594861,2022-09-07 23:54:21
15499562,670756714048109566575366,1662681280,2022-09-08 23:54:40
15505562,677955653096854827529576,1662766758,2022-09-09 23:39:18
15511662,680012514873161956586277,1662853970,2022-09-10 23:52:50
15517662,681606393539216958650870,1662939532,2022-09-11 23:38:52
15523762,687333485871337646444421,1663026634,2022-09-12 23:50:34
15529862,688806702467289604302116,1663113503,2022-09-13 23:58:23
15535762,696484017527570375798034,1663199707,2022-09-14 23:55:07
15542462,698406389597162822652200,1663285895,2022-09-15 23:51:35
15549562,700371289654964917361051,1663372391,2022-09-16 23:53:11
15556662,711408361218554692411429,1663458443,2022-09-17 23:47:23
15563762,714772589830139429839925,1663544459,2022-09-18 23:40:59
15570962,720078167557244755604336,1663631783,2022-09-19 23:56:23
15578062,729435222051454787217478,1663717727,2022-09-20 23:48:47
15585162,731891814305178642089744,1663804679,2022-09-21 23:57:59
15592262,734368529497061448581535,1663890455,2022-09-22 23:47:35
15599462,736692129828496433928418,1663977251,2022-09-23 23:54:11
15606562,739287622897753220529358,1664062835,2022-09-24 23:40:35
15613762,749915961585355137348536,1664149619,2022-09-25 23:46:59
15620962,753337014444100908476639,1664236643,2022-09-26 23:57:23
15628062,755826459541859427283393,1664322539,2022-09-27 23:48:59
15635262,757878476750554388760229,1664409407,2022-09-28 23:56:47
15642362,760604277347470198441974,1664495159,2022-09-29 23:45:59
15649562,768552398714889435836397,1664582015,2022-09-30 23:53:35
15656662,770809141135708659484683,1664667971,2022-10-01 23:46:11
15663862,772087266587823938737780,1664754659,2022-10-02 23:50:59
15671062,773659672333855867276691,1664841587,2022-10-03 23:59:47
15678162,774742795665831515171033,1664927603,2022-10-04 23:53:23
15685262,781942416317226209624512,1665013427,2022-10-05 23:43:47
15692462,782986442960471602298619,1665100343,2022-10-06 23:52:23
15699562,784545911983668134906411,1665186191,2022-10-07 23:43:11
15706762,785796721783014970033048,1665272963,2022-10-08 23:49:23
15713962,786824073155648328769418,1665359819,2022-10-09 23:56:59
15721062,787896218510010829125333,1665445439,2022-10-10 23:43:59
15728262,788938308684997153580014,1665532271,2022-10-11 23:51:11
15735462,794452655020800841007094,1665619103,2022-10-12 23:58:23
15742562,795649585818366298219109,1665704819,2022-10-13 23:46:59
15749762,796662867942118843017318,1665791675,2022-10-14 23:54:35
15756862,797947376980398205022388,1665877247,2022-10-15 23:40:47
15764062,799755814864860831649902,1665964187,2022-10-16 23:49:47
15771262,800747032186375086125216,1666051139,2022-10-17 23:58:59
15778362,801556989300077217846291,1666136711,2022-10-18 23:45:11
15785562,808663825725219934166640,1666223675,2022-10-19 23:54:35
15792662,809918766796846158241493,1666309295,2022-10-20 23:41:35
15799862,811202589891016833438668,1666396103,2022-10-21 23:48:23
15807062,812480982774361208817434,1666482911,2022-10-22 23:55:11
15814162,813575793216336535152145,1666568555,2022-10-23 23:42:35
15821362,814472276113240736546332,1666655927,2022-10-24 23:58:47
15828462,822071483241511893344380,1666741703,2022-10-25 23:48:23
15835662,823074119409532750921261,1666828499,2022-10-26 23:54:59
15842762,825600609719851154284962,1666914167,2022-10-27 23:42:47
15849962,827473189970555853186784,1667001143,2022-10-28 23:52:23
15857062,829595304406494961690715,1667086943,2022-10-29 23:42:23
15864262,831067858318211829841593,1667173727,2022-10-30 23:48:47
15871462,832513964889392126197156,1667260595,2022-10-31 23:56:35
15878562,833393086422542108068054,1667346539,2022-11-01 23:48:59
15885762,841396152086198269262031,1667433479,2022-11-02 23:57:59
15892862,843512498669777179856511,1667519219,2022-11-03 23:46:59
15900062,845239612504609834932832,1667606003,2022-11-04 23:53:23
