block_number,total_supply,timestamp,time
12273574,0,1618876350,2021-04-19 23:52:30
12280174,0,1618962894,2021-04-20 23:54:54
12286674,0,1619049194,2021-04-21 23:53:14
12293074,0,1619135278,2021-04-22 23:47:58
12299574,0,1619222314,2021-04-23 23:58:34
12306074,0,1619308731,2021-04-24 23:58:51
12312574,0,1619395047,2021-04-25 23:57:27
12318974,0,1619480243,2021-04-26 23:37:23
12325474,0,1619566921,2021-04-27 23:42:01
12331974,0,1619653835,2021-04-28 23:50:35
12338474,0,1619740517,2021-04-29 23:55:17
12344874,0,1619826163,2021-04-30 23:42:43
12351374,0,1619912665,2021-05-01 23:44:25
12357774,0,1619998936,2021-05-02 23:42:16
12364274,0,1620085320,2021-05-03 23:42:00
12370774,0,1620171646,2021-05-04 23:40:46
12377374,0,1620259141,2021-05-05 23:59:01
12383774,0,1620344416,2021-05-06 23:40:16
12390274,0,1620431722,2021-05-07 23:55:22
12396774,0,1620518345,2021-05-08 23:59:05
12403174,0,1620603761,2021-05-09 23:42:41
12409774,0,1620691176,2021-05-10 23:59:36
12416174,0,1620776938,2021-05-11 23:48:58
12422574,0,1620862842,2021-05-12 23:40:42
12429174,0,1620950122,2021-05-13 23:55:22
12435674,0,1621036758,2021-05-14 23:59:18
12442074,0,1621122299,2021-05-15 23:44:59
12448574,0,1621209206,2021-05-16 23:53:26
12454974,0,1621295194,2021-05-17 23:46:34
12461474,0,1621382267,2021-05-18 23:57:47
12467874,0,1621468303,2021-05-19 23:51:43
12474374,0,1621555190,2021-05-20 23:59:50
12480774,0,1621641484,2021-05-21 23:58:04
12487174,0,1621727085,2021-05-22 23:44:45
12493674,0,1621814065,2021-05-23 23:54:25
12500174,0,1621900612,2021-05-24 23:56:52
12506574,0,1621986979,2021-05-25 23:56:19
12512974,0,1622072799,2021-05-26 23:46:39
12519374,0,1622159076,2021-05-27 23:44:36
12525874,0,1622245879,2021-05-28 23:51:19
12532374,0,1622332762,2021-05-29 23:59:22
12538774,0,1622418966,2021-05-30 23:56:06
12545174,0,1622505015,2021-05-31 23:50:15
12551674,0,1622591604,2021-06-01 23:53:24
12558174,0,1622678012,2021-06-02 23:53:32
12564574,0,1622764426,2021-06-03 23:53:46
12571074,0,1622850640,2021-06-04 23:50:40
12577474,0,1622936526,2021-06-05 23:42:06
12584074,0,1623023739,2021-06-06 23:55:39
12590474,0,1623109859,2021-06-07 23:50:59
12596974,0,1623196529,2021-06-08 23:55:29
12603374,0,1623282468,2021-06-09 23:47:48
12609874,0,1623369275,2021-06-10 23:54:35
12616274,0,1623454963,2021-06-11 23:42:43
12622774,0,1623542237,2021-06-12 23:57:17
12629174,0,1623627833,2021-06-13 23:43:53
12635674,0,1623714940,2021-06-14 23:55:40
12642174,0,1623801355,2021-06-15 23:55:55
12648574,0,1623887704,2021-06-16 23:55:04
12654974,0,1623973294,2021-06-17 23:41:34
12661374,0,1624059297,2021-06-18 23:34:57
12667874,0,1624146872,2021-06-19 23:54:32
12674274,0,1624232605,2021-06-20 23:43:25
12680674,0,1624319892,2021-06-21 23:58:12
12687074,0,1624405863,2021-06-22 23:51:03
12693474,0,1624491983,2021-06-23 23:46:23
12699874,0,1624578114,2021-06-24 23:41:54
12706274,0,1624665105,2021-06-25 23:51:45
12712674,0,1624751033,2021-06-26 23:43:53
12719174,0,1624838298,2021-06-27 23:58:18
12725574,0,1624923981,2021-06-28 23:46:21
12731974,0,1625010261,2021-06-29 23:44:21
12738474,0,1625097101,2021-06-30 23:51:41
12744774,0,1625182928,2021-07-01 23:42:08
12751274,0,1625270068,2021-07-02 23:54:28
12757674,0,1625356213,2021-07-03 23:50:13
12764074,0,1625442148,2021-07-04 23:42:28
12770574,0,1625529354,2021-07-05 23:55:54
12776974,0,1625615380,2021-07-06 23:49:40
12783374,0,1625702018,2021-07-07 23:53:38
12789774,0,1625787627,2021-07-08 23:40:27
12796174,0,1625874124,2021-07-09 23:42:04
12802674,0,1625961251,2021-07-10 23:54:11
12809074,0,1626047088,2021-07-11 23:44:48
12815474,0,1626133880,2021-07-12 23:51:20
12821774,0,1626220282,2021-07-13 23:51:22
12828174,0,1626306634,2021-07-14 23:50:34
12834574,0,1626393047,2021-07-15 23:50:47
12840874,0,1626478385,2021-07-16 23:33:05
12847274,0,1626565612,2021-07-17 23:46:52
12853674,0,1626652497,2021-07-18 23:54:57
12860074,0,1626738228,2021-07-19 23:43:48
12866374,0,1626824081,2021-07-20 23:34:41
12872874,0,1626911782,2021-07-21 23:56:22
12879274,0,1626997846,2021-07-22 23:50:46
12885574,0,1627083611,2021-07-23 23:40:11
12892074,0,1627170686,2021-07-24 23:51:26
12898474,0,1627257024,2021-07-25 23:50:24
12904774,0,1627342944,2021-07-26 23:42:24
12911074,0,1627429823,2021-07-27 23:50:23
12917374,0,1627516197,2021-07-28 23:49:57
12923774,0,1627603186,2021-07-29 23:59:46
12929974,0,1627688895,2021-07-30 23:48:15
12936274,0,1627775124,2021-07-31 23:45:24
12942574,0,1627861120,2021-08-01 23:38:40
12948974,0,1627947792,2021-08-02 23:43:12
12955374,0,1628034850,2021-08-03 23:54:10
12961674,0,1628121054,2021-08-04 23:50:54
12967974,0,1628206877,2021-08-05 23:41:17
12974474,0,1628293723,2021-08-06 23:48:43
12980974,0,1628379348,2021-08-07 23:35:48
12987474,0,1628466006,2021-08-08 23:40:06
12993974,0,1628552408,2021-08-09 23:40:08
13000574,0,1628639986,2021-08-10 23:59:46
13006974,0,1628726384,2021-08-11 23:59:44
13013474,0,1628812624,2021-08-12 23:57:04
13019874,0,1628898142,2021-08-13 23:42:22
13026374,0,1628984507,2021-08-14 23:41:47
13032874,0,1629071971,2021-08-15 23:59:31
13039374,0,1629158307,2021-08-16 23:58:27
13045874,0,1629244497,2021-08-17 23:54:57
13052274,0,1629330916,2021-08-18 23:55:16
13058774,0,1629416668,2021-08-19 23:44:28
13065274,0,1629503455,2021-08-20 23:50:55
13071674,0,1629589237,2021-08-21 23:40:37
13078174,0,1629675641,2021-08-22 23:40:41
13084674,0,1629763156,2021-08-23 23:59:16
13091174,0,1629849395,2021-08-24 23:56:35
13097574,0,1629935396,2021-08-25 23:49:56
13104074,0,1630021531,2021-08-26 23:45:31
13110474,0,1630107534,2021-08-27 23:38:54
13116974,0,1630194665,2021-08-28 23:51:05
13123474,0,1630281063,2021-08-29 23:51:03
13129974,0,1630367849,2021-08-30 23:57:29
13136374,0,1630453713,2021-08-31 23:48:33
13142874,0,1630540655,2021-09-01 23:57:35
13149374,0,1630626481,2021-09-02 23:48:01
13155874,0,1630713349,2021-09-03 23:55:49
13162274,0,1630799368,2021-09-04 23:49:28
13168774,0,1630885365,2021-09-05 23:42:45
13175274,0,1630972407,2021-09-06 23:53:27
13181674,0,1631058566,2021-09-07 23:49:26
13188174,0,1631144977,2021-09-08 23:49:37
13194674,0,1631231882,2021-09-09 23:58:02
13201074,0,1631317423,2021-09-10 23:43:43
13207474,0,1631403693,2021-09-11 23:41:33
13214074,0,1631491171,2021-09-12 23:59:31
13220474,0,1631577381,2021-09-13 23:56:21
13226874,0,1631662826,2021-09-14 23:40:26
13233374,0,1631750055,2021-09-15 23:54:15
13239874,0,1631836398,2021-09-16 23:53:18
13246274,0,1631922132,2021-09-17 23:42:12
13252774,0,1632009175,2021-09-18 23:52:55
13259274,0,1632095258,2021-09-19 23:47:38
13265674,0,1632181220,2021-09-20 23:40:20
13272174,0,1632267840,2021-09-21 23:44:00
13278674,0,1632355006,2021-09-22 23:56:46
13285074,0,1632441281,2021-09-23 23:54:41
13291474,0,1632526974,2021-09-24 23:42:54
13298074,0,1632613638,2021-09-25 23:47:18
13304474,0,1632700207,2021-09-26 23:50:07
13310974,0,1632787086,2021-09-27 23:58:06
13317274,0,1632872679,2021-09-28 23:44:39
13323674,0,1632958757,2021-09-29 23:39:17
13330074,0,1633046150,2021-09-30 23:55:50
13336574,0,1633132798,2021-10-01 23:59:58
13342874,0,1633218027,2021-10-02 23:40:27
13349274,0,1633304882,2021-10-03 23:48:02
13355674,0,1633391784,2021-10-04 23:56:24
13362074,0,1633477961,2021-10-05 23:52:41
13368474,0,1633564071,2021-10-06 23:47:51
13374774,0,1633650044,2021-10-07 23:40:44
13381174,0,1633736160,2021-10-08 23:36:00
13387574,0,1633823325,2021-10-09 23:48:45
13393974,0,1633910134,2021-10-10 23:55:34
13400374,0,1633996777,2021-10-11 23:59:37
13406674,0,1634082474,2021-10-12 23:47:54
13412974,0,1634168575,2021-10-13 23:42:55
13419374,0,1634255904,2021-10-14 23:58:24
13425674,0,1634342101,2021-10-15 23:55:01
13432074,0,1634427895,2021-10-16 23:44:55
13438474,0,1634514445,2021-10-17 23:47:25
13444774,0,1634600560,2021-10-18 23:42:40
13451274,0,1634687836,2021-10-19 23:57:16
13457574,0,1634773360,2021-10-20 23:42:40
13464074,0,1634860160,2021-10-21 23:49:20
13470474,0,1634946578,2021-10-22 23:49:38
13476874,0,1635033500,2021-10-23 23:58:20
13483174,0,1635118942,2021-10-24 23:42:22
13489574,0,1635205028,2021-10-25 23:37:08
13496074,0,1635292751,2021-10-26 23:59:11
13502374,0,1635378441,2021-10-27 23:47:21
13508774,0,1635464864,2021-10-28 23:47:44
13515174,0,1635551788,2021-10-29 23:56:28
13521474,0,1635637496,2021-10-30 23:44:56
13527774,0,1635723450,2021-10-31 23:37:30
13534274,0,1635811089,2021-11-01 23:58:09
13540574,0,1635897430,2021-11-02 23:57:10
13546974,0,1635983995,2021-11-03 23:59:55
13553174,0,1636069034,2021-11-04 23:37:14
13559674,0,1636156511,2021-11-05 23:55:11
13565974,0,1636242363,2021-11-06 23:46:03
13572474,0,1636329390,2021-11-07 23:56:30
13578774,0,1636415164,2021-11-08 23:46:04
13585174,0,1636501977,2021-11-09 23:52:57
13591574,0,1636588429,2021-11-10 23:53:49
13597874,0,1636673991,2021-11-11 23:39:51
13604374,0,1636761408,2021-11-12 23:56:48
13610674,0,1636847583,2021-11-13 23:53:03
13616974,0,1636933271,2021-11-14 23:41:11
13623374,0,1637020766,2021-11-15 23:59:26
13629574,0,1637106530,2021-11-16 23:48:50
13635974,0,1637193028,2021-11-17 23:50:28
13642374,0,1637279789,2021-11-18 23:56:29
13648574,0,1637365776,2021-11-19 23:49:36
13654874,0,1637452107,2021-11-20 23:48:27
13661174,0,1637538742,2021-11-21 23:52:22
13667574,0,1637625599,2021-11-22 23:59:59
13673874,0,1637711427,2021-11-23 23:50:27
13680174,0,1637797808,2021-11-24 23:50:08
13686474,0,1637884098,2021-11-25 23:48:18
13692674,0,1637970160,2021-11-26 23:42:40
13699074,0,1638056985,2021-11-27 23:49:45
13705374,0,1638143874,2021-11-28 23:57:54
13711574,0,1638230192,2021-11-29 23:56:32
13717774,0,1638315770,2021-11-30 23:42:50
13724074,0,1638403044,2021-12-01 23:57:24
13730274,0,1638488627,2021-12-02 23:43:47
13736574,0,1638575321,2021-12-03 23:48:41
13742774,0,1638661976,2021-12-04 23:52:56
13748974,0,1638748165,2021-12-05 23:49:25
13755274,0,1638834856,2021-12-06 23:54:16
13761474,0,1638920206,2021-12-07 23:36:46
13767774,0,1639007727,2021-12-08 23:55:27
13774074,0,1639094381,2021-12-09 23:59:41
13780474,0,1639180470,2021-12-10 23:54:30
13786974,0,1639266989,2021-12-11 23:56:29
13793474,0,1639353138,2021-12-12 23:52:18
13799974,0,1639439652,2021-12-13 23:54:12
13806374,0,1639526241,2021-12-14 23:57:21
13812774,0,1639611728,2021-12-15 23:42:08
13819174,0,1639697968,2021-12-16 23:39:28
13825674,0,1639784819,2021-12-17 23:46:59
13832174,0,1639871113,2021-12-18 23:45:13
13838674,0,1639958070,2021-12-19 23:54:30
13845174,0,1640044134,2021-12-20 23:48:54
13851674,0,1640131052,2021-12-21 23:57:32
13858074,0,1640217257,2021-12-22 23:54:17
13864474,0,1640303360,2021-12-23 23:49:20
13870974,0,1640390204,2021-12-24 23:56:44
13877374,0,1640475733,2021-12-25 23:42:13
13883874,0,1640562611,2021-12-26 23:50:11
13890374,0,1640649381,2021-12-27 23:56:21
13896774,0,1640735118,2021-12-28 23:45:18
13903274,0,1640821365,2021-12-29 23:42:45
13909774,0,1640908618,2021-12-30 23:56:58
13916074,0,1640994080,2021-12-31 23:41:20
13922574,0,1641080357,2022-01-01 23:39:17
13929074,0,1641166646,2022-01-02 23:37:26
13935574,0,1641253528,2022-01-03 23:45:28
13942074,0,1641340147,2022-01-04 23:49:07
13948574,0,1641427113,2022-01-05 23:58:33
13954874,0,1641512249,2022-01-06 23:37:29
13961374,0,1641599757,2022-01-07 23:55:57
13967874,0,1641685682,2022-01-08 23:48:02
13974374,0,1641772264,2022-01-09 23:51:04
13980774,0,1641858203,2022-01-10 23:43:23
13987374,0,1641945581,2022-01-11 23:59:41
13993774,0,1642031167,2022-01-12 23:46:07
14000174,0,1642117198,2022-01-13 23:39:58
14006674,0,1642204269,2022-01-14 23:51:09
14013174,0,1642290869,2022-01-15 23:54:29
14019674,0,1642377369,2022-01-16 23:56:09
14026074,0,1642462850,2022-01-17 23:40:50
14032574,0,1642549502,2022-01-18 23:45:02
14039074,0,1642636412,2022-01-19 23:53:32
14045574,0,1642723030,2022-01-20 23:57:10
14051974,0,1642809449,2022-01-21 23:57:29
14058474,0,1642895055,2022-01-22 23:44:15
14064974,0,1642982162,2022-01-23 23:56:02
14071374,0,1643067824,2022-01-24 23:43:44
14077874,0,1643154836,2022-01-25 23:53:56
14084274,0,1643240858,2022-01-26 23:47:38
14090774,0,1643327406,2022-01-27 23:50:06
14097274,0,1643414137,2022-01-28 23:55:37
14103674,0,1643499675,2022-01-29 23:41:15
14110274,0,1643586884,2022-01-30 23:54:44
14116674,0,1643672357,2022-01-31 23:39:17
14123174,0,1643758824,2022-02-01 23:40:24
14129674,0,1643845800,2022-02-02 23:50:00
14136074,0,1643932048,2022-02-03 23:47:28
14142674,0,1644018906,2022-02-04 23:55:06
14149074,0,1644105541,2022-02-05 23:59:01
14155574,0,1644191413,2022-02-06 23:50:13
14162074,0,1644278311,2022-02-07 23:58:31
14168474,0,1644364225,2022-02-08 23:50:25
14174974,0,1644450912,2022-02-09 23:55:12
14181374,0,1644536859,2022-02-10 23:47:39
14187874,0,1644623078,2022-02-11 23:44:38
14194374,0,1644709978,2022-02-12 23:52:58
14200874,0,1644796578,2022-02-13 23:56:18
14207274,0,1644882352,2022-02-14 23:45:52
14213774,0,1644968635,2022-02-15 23:43:55
14220174,0,1645054857,2022-02-16 23:40:57
14226674,0,1645141169,2022-02-17 23:39:29
14233074,0,1645227676,2022-02-18 23:41:16
14239474,0,1645313895,2022-02-19 23:38:15
14246074,0,1645401406,2022-02-20 23:56:46
14252474,0,1645487437,2022-02-21 23:50:37
14258974,0,1645574206,2022-02-22 23:56:46
14265374,0,1645659391,2022-02-23 23:36:31
14271874,0,1645746207,2022-02-24 23:43:27
14278374,0,1645833497,2022-02-25 23:58:17
14284774,0,1645919010,2022-02-26 23:43:30
14291274,0,1646005263,2022-02-27 23:41:03
14297674,0,1646091572,2022-02-28 23:39:32
14304174,0,1646177977,2022-03-01 23:39:37
14310574,0,1646264260,2022-03-02 23:37:40
14317074,0,1646351336,2022-03-03 23:48:56
14323574,0,1646437990,2022-03-04 23:53:10
14329974,0,1646524731,2022-03-05 23:58:51
14336374,0,1646610846,2022-03-06 23:54:06
14342774,0,1646696613,2022-03-07 23:43:33
14349174,0,1646783120,2022-03-08 23:45:20
14355674,0,1646869517,2022-03-09 23:45:17
14362174,0,1646956209,2022-03-10 23:50:09
14368474,0,1647041940,2022-03-11 23:39:00
14374974,0,1647128469,2022-03-12 23:41:09
14381374,0,1647215762,2022-03-13 23:56:02
14387774,0,1647301317,2022-03-14 23:41:57
14394174,0,1647387721,2022-03-15 23:42:01
14400574,0,1647474235,2022-03-16 23:43:55
14407074,0,1647561574,2022-03-17 23:59:34
14413474,0,1647647812,2022-03-18 23:56:52
14419874,0,1647733540,2022-03-19 23:45:40
14426274,0,1647819481,2022-03-20 23:38:01
14432774,0,1647907193,2022-03-21 23:59:53
14439174,0,1647992923,2022-03-22 23:48:43
14445574,0,1648078699,2022-03-23 23:38:19
14452074,0,1648166261,2022-03-24 23:57:41
14458474,0,1648252352,2022-03-25 23:52:32
14464874,0,1648338579,2022-03-26 23:49:39
