block_number,total_supply,timestamp,time
11226411,0,1604965879,2020-11-09 23:51:19
11232811,0,1605051637,2020-11-10 23:40:37
11239411,0,1605139029,2020-11-11 23:57:09
11245911,0,1605225167,2020-11-12 23:52:47
11252411,0,1605311338,2020-11-13 23:48:58
11259011,0,1605398362,2020-11-14 23:59:22
11265511,0,1605483989,2020-11-15 23:46:29
11272011,0,1605570732,2020-11-16 23:52:12
11278511,0,1605656957,2020-11-17 23:49:17
11285011,0,1605743965,2020-11-18 23:59:25
11291611,0,1605830285,2020-11-19 23:58:05
11298011,1344000000000000000000,1605916099,2020-11-20 23:48:19
11304611,1344000000000000000000,1606002775,2020-11-21 23:52:55
11311111,1376000000000000000000,1606089140,2020-11-22 23:52:20
11317511,1920000000000000000000,1606174734,2020-11-23 23:38:54
11324111,3168000000000000000000,1606261690,2020-11-24 23:48:10
11330611,3488000000000000000000,1606348430,2020-11-25 23:53:50
11337111,3584000000000000000000,1606434261,2020-11-26 23:44:21
11343511,3808000000000000000000,1606520498,2020-11-27 23:41:38
11350111,4320000000000000000000,1606606944,2020-11-28 23:42:24
11356611,4768000000000000000000,1606693268,2020-11-29 23:41:08
11363211,5109500000000000000000,1606780093,2020-11-30 23:48:13
11369711,6028000000000000000000,1606866258,2020-12-01 23:44:18
11376211,6553500000000000000000,1606953265,2020-12-02 23:54:25
11382711,6993500000000000000000,1607038989,2020-12-03 23:43:09
11389211,7399500000000000000000,1607125959,2020-12-04 23:52:39
11395711,7603000000000000000000,1607212571,2020-12-05 23:56:11
11402211,7667500000000000000000,1607298202,2020-12-06 23:43:22
11408711,7865000000000000000000,1607385012,2020-12-07 23:50:12
11415211,8373000000000000000000,1607471548,2020-12-08 23:52:28
11421811,8421500000000000000000,1607558044,2020-12-09 23:54:04
11428211,8485000000000000000000,1607643876,2020-12-10 23:44:36
11434711,8581000000000000000000,1607730667,2020-12-11 23:51:07
11441211,8638954565059345507200,1607817172,2020-12-12 23:52:52
11447711,8732821099921172934600,1607903767,2020-12-13 23:56:07
11454211,8986460460079727898000,1607989613,2020-12-14 23:46:53
11460711,9146233285376455434000,1608076236,2020-12-15 23:50:36
11467211,9206148094862728260000,1608162103,2020-12-16 23:41:43
11473811,9521699424823765143600,1608249547,2020-12-17 23:59:07
11480211,10001017900713947751600,1608334796,2020-12-18 23:39:56
11486811,10224699856129366302000,1608422239,2020-12-19 23:57:19
11493311,10589680903916578267050,1608508056,2020-12-20 23:47:36
11499811,10777413973640233121850,1608594206,2020-12-21 23:43:26
11506311,26940432412720432482450,1608680804,2020-12-22 23:46:44
