block_number,total_supply,timestamp,time
15692446,1001000000000000000,1665100151,2022-10-06 23:49:11
15699646,1001000000000000000,1665187199,2022-10-07 23:59:59
15706746,1001000000000000000,1665272771,2022-10-08 23:46:11
15713946,1001000000000000000,1665359627,2022-10-09 23:53:47
15721046,1001000000000000000,1665445247,2022-10-10 23:40:47
15728246,2001000000000000000,1665532067,2022-10-11 23:47:47
15735446,37201000000000000000,1665618911,2022-10-12 23:55:11
15742546,37451078205269175433,1665704627,2022-10-13 23:43:47
15749746,775854034685269175433,1665791471,2022-10-14 23:51:11
15756946,775854034685269175433,1665878267,2022-10-15 23:57:47
15764046,775854034685269175433,1665963995,2022-10-16 23:46:35
15771246,776953094685269175433,1666050947,2022-10-17 23:55:47
15778346,776963094685269175433,1666136519,2022-10-18 23:41:59
15785546,916963094685269175433,1666223483,2022-10-19 23:51:23
15792746,1084273094685269175433,1666310303,2022-10-20 23:58:23
15799846,1678838578508131545433,1666395911,2022-10-21 23:45:11
15807046,1696249390486411767733,1666482719,2022-10-22 23:51:59
15814246,1837671947610901941733,1666569575,2022-10-23 23:59:35
15821346,2045963359370173357513,1666655735,2022-10-24 23:55:35
15828446,2052463359370173357513,1666741511,2022-10-25 23:45:11
15835646,2082796162196687712563,1666828307,2022-10-26 23:51:47
15842846,2117813909281337282003,1666915175,2022-10-27 23:59:35
15849946,2138834105810804128725,1667000951,2022-10-28 23:49:11
15857146,2235489848096042832002,1667087951,2022-10-29 23:59:11
15864246,2467633096346924855486,1667173535,2022-10-30 23:45:35
15871446,2739825340016513276506,1667260391,2022-10-31 23:53:11
15878546,3368572381084383773678,1667346347,2022-11-01 23:45:47
15885746,3865329307913200473817,1667433287,2022-11-02 23:54:47
15892846,4845299407913200473817,1667519027,2022-11-03 23:43:47
15900046,4905339419007535933557,1667605811,2022-11-04 23:50:11
15907246,5023432487377119180013,1667692715,2022-11-05 23:58:35
15914346,5196747117891757669333,1667778311,2022-11-06 23:45:11
15921546,5336747117891757669333,1667865095,2022-11-07 23:51:35
15928746,5354632989960663288033,1667951915,2022-11-08 23:58:35
15935846,5498352989960663288033,1668037763,2022-11-09 23:49:23
15943046,5856822356392024547563,1668124631,2022-11-10 23:57:11
15950146,5859822356392024547563,1668210419,2022-11-11 23:46:59
15957346,5927093309176547712523,1668297203,2022-11-12 23:53:23
15964546,5950147783084831578123,1668383939,2022-11-13 23:58:59
15971646,5984643362728555573423,1668469511,2022-11-14 23:45:11
15978846,6464569062034775370025,1668556523,2022-11-15 23:55:23
15985946,7081882794916979460555,1668642311,2022-11-16 23:45:11
15993146,14877581198577094914330,1668729203,2022-11-17 23:53:23
16000246,15420483893637500034830,1668814883,2022-11-18 23:41:23
16007446,16740062393651760956230,1668901727,2022-11-19 23:48:47
16014646,16908808409708580530630,1668988571,2022-11-20 23:56:11
16021746,17016176835195981326280,1669074215,2022-11-21 23:43:35
16028946,18121330690924650833425,1669161215,2022-11-22 23:53:35
16036046,18509174459432714140694,1669247147,2022-11-23 23:45:47
16043246,18878075163711816830694,1669333979,2022-11-24 23:52:59
16050346,19265335163711816830694,1669419707,2022-11-25 23:41:47
16057546,20317724212007452892494,1669506599,2022-11-26 23:49:59
16064746,21164403410215821490494,1669593491,2022-11-27 23:58:11
16071846,23163735090292273913824,1669678979,2022-11-28 23:42:59
16079046,24625547087196971238534,1669765967,2022-11-29 23:52:47
16086146,25227937529090404195424,1669851755,2022-11-30 23:42:35
16093346,26257189755608318818084,1669938587,2022-12-01 23:49:47
16100546,26908358081147665041326,1670025395,2022-12-02 23:56:35
16107646,29123129976411397076326,1670111039,2022-12-03 23:43:59
16114846,29853804665407123648730,1670197979,2022-12-04 23:52:59
16121946,31563985265407123648730,1670283863,2022-12-05 23:44:23
16129146,31728906607651256959730,1670370623,2022-12-06 23:50:23
16136246,32088787756932032044730,1670457311,2022-12-07 23:55:11
16143346,35372259990701883179970,1670542967,2022-12-08 23:42:47
16150546,35916355623096454499541,1670629967,2022-12-09 23:52:47
16157746,36851036479366052680744,1670716787,2022-12-10 23:59:47
16164846,40389579594290655946935,1670802467,2022-12-11 23:47:47
16172046,41770372924428027428973,1670889395,2022-12-12 23:56:35
16179146,42377051111957140734573,1670975183,2022-12-13 23:46:23
16186346,42756017114406355892503,1671062027,2022-12-14 23:53:47
