block_number,total_supply,timestamp,time
13457613,0,1634774039,2021-10-20 23:53:59
13464113,100000000000000000,1634860689,2021-10-21 23:58:09
13470513,100000000000000000,1634946929,2021-10-22 23:55:29
13476813,4291724648572523672914,1635032427,2021-10-23 23:40:27
13483213,4291724648572523672914,1635119502,2021-10-24 23:51:42
13489613,4291724648572523672914,1635205704,2021-10-25 23:48:24
13496013,4305855733811301450691,1635291857,2021-10-26 23:44:17
13502413,4306830938285539450691,1635379070,2021-10-27 23:57:50
13508813,4319798177525539450691,1635465330,2021-10-28 23:55:30
13515113,4326186607235539450691,1635550940,2021-10-29 23:42:20
13521513,4329669243635539450691,1635638022,2021-10-30 23:53:42
13527813,4329669243635539450691,1635723963,2021-10-31 23:46:03
13534213,4329986656015539450691,1635810199,2021-11-01 23:43:19
13540513,4330355076965539450691,1635896567,2021-11-02 23:42:47
13546913,4330455076965539450691,1635983100,2021-11-03 23:45:00
13553213,4337535242979539450691,1636069676,2021-11-04 23:47:56
13559613,4341558604489030670787,1636155787,2021-11-05 23:43:07
13566013,4342395627252030670787,1636242910,2021-11-06 23:55:10
13572413,4342845627252030670787,1636328588,2021-11-07 23:43:08
13578813,4344537669126030670787,1636415638,2021-11-08 23:53:58
13585113,4344777657970030670787,1636501310,2021-11-09 23:41:50
13591513,4344777657970030670787,1636587617,2021-11-10 23:40:17
13597913,4344777657970030670787,1636674508,2021-11-11 23:48:28
13604313,4345288491355492381180,1636760735,2021-11-12 23:45:35
13610713,4345483491355492381180,1636847989,2021-11-13 23:59:49
13617013,4345682825507492381180,1636933744,2021-11-14 23:49:04
13623313,4345682825507492381180,1637019884,2021-11-15 23:44:44
13629613,4345682825507492381180,1637107066,2021-11-16 23:57:46
13636013,4366002448537492381180,1637193475,2021-11-17 23:57:55
13642313,4366120631907492381180,1637278669,2021-11-18 23:37:49
13648613,4366120631907492381180,1637366228,2021-11-19 23:57:08
13654913,4367051416380793970891,1637452750,2021-11-20 23:59:10
13661113,4369258825730793970891,1637537952,2021-11-21 23:39:12
13667513,4369258825730793970891,1637624823,2021-11-22 23:47:03
13673913,4369746718974793970891,1637711996,2021-11-23 23:59:56
13680213,4372814610833546169768,1637798295,2021-11-24 23:58:15
13686513,4373279796080546169768,1637884699,2021-11-25 23:58:19
13692713,4373385842766546169768,1637970704,2021-11-26 23:51:44
13699113,4374216194204546169768,1638057472,2021-11-27 23:57:52
13705313,4375197922132565938768,1638143019,2021-11-28 23:43:39
13711513,4385173722132565938768,1638229463,2021-11-29 23:44:23
13717813,4385300047172565938768,1638316373,2021-11-30 23:52:53
13724013,4385300047172565938768,1638402188,2021-12-01 23:43:08
13730313,4385725028423565938768,1638489267,2021-12-02 23:54:27
13736613,4410730529335476938845,1638575864,2021-12-03 23:57:44
13742713,4412480529335476938845,1638661221,2021-12-04 23:40:21
13749013,4413974262995476938845,1638748656,2021-12-05 23:57:36
13755213,4414157806195476938845,1638833964,2021-12-06 23:39:24
13761513,4414157806195476938845,1638920890,2021-12-07 23:48:10
13767713,4414457806195476938845,1639006857,2021-12-08 23:40:57
13774013,4414557806195476938845,1639093548,2021-12-09 23:45:48
13780413,4414906499971476938845,1639179582,2021-12-10 23:39:42
13786913,4435598693315476938845,1639266170,2021-12-11 23:42:50
13793413,4436684301168511914317,1639352360,2021-12-12 23:39:20
13799913,4437884301168511914317,1639438926,2021-12-13 23:42:06
13806313,4439284301168511914317,1639525402,2021-12-14 23:43:22
13812813,4472984301168511914317,1639612171,2021-12-15 23:49:31
13819213,4475284301168511914317,1639698494,2021-12-16 23:48:14
13825713,4476484301168511914317,1639785381,2021-12-17 23:56:21
13832213,4478114301168511914317,1639871615,2021-12-18 23:53:35
13838613,4479414301168511914317,1639957313,2021-12-19 23:41:53
13845213,4479414301168511914317,1640044454,2021-12-20 23:54:14
13851613,4479999087368511914317,1640130251,2021-12-21 23:44:11
13858013,4484099087368511914317,1640216558,2021-12-22 23:42:38
13864513,4484099087368511914317,1640303944,2021-12-23 23:59:04
13870913,4485099087368511914317,1640389361,2021-12-24 23:42:41
13877413,4485099087368511914317,1640476246,2021-12-25 23:50:46
13883913,4492387004756290293317,1640563156,2021-12-26 23:59:16
13890313,4492387004756290293317,1640648541,2021-12-27 23:42:21
13896813,4492387004756290293317,1640735775,2021-12-28 23:56:15
13903313,4492387004756290293317,1640821904,2021-12-29 23:51:44
13909713,4493107004756290293317,1640907657,2021-12-30 23:40:57
13916113,4506960486281868293338,1640994539,2021-12-31 23:48:59
13922613,4507601686281868293338,1641080988,2022-01-01 23:49:48
13929113,4507703938216868293338,1641167161,2022-01-02 23:46:01
13935613,4507908167434526327136,1641254096,2022-01-03 23:54:56
13942113,4509240252382717528412,1641340736,2022-01-04 23:58:56
13948513,4509838436412717528412,1641426338,2022-01-05 23:45:38
13954913,4511841562059717528412,1641512782,2022-01-06 23:46:22
13961313,4514260539949717528412,1641598994,2022-01-07 23:43:14
13967913,4514573739949717528412,1641686211,2022-01-08 23:56:51
13974413,4514678621819717528412,1641772705,2022-01-09 23:58:25
13980813,4514830911109717528412,1641858667,2022-01-10 23:51:07
13987313,4516988228146627396098,1641944828,2022-01-11 23:47:08
13993813,4516988228146627396098,1642031760,2022-01-12 23:56:00
14000213,4516988228146627396098,1642117634,2022-01-13 23:47:14
14006613,4516988228146627396098,1642203204,2022-01-14 23:33:24
14013113,4516988228146627396098,1642290094,2022-01-15 23:41:34
14019613,4520132291836627396098,1642376579,2022-01-16 23:42:59
14026113,4520332291836627396098,1642463314,2022-01-17 23:48:34
14032613,4520332291836627396098,1642550112,2022-01-18 23:55:12
14039013,4540332291836627396098,1642635586,2022-01-19 23:39:46
14045513,4540332291836627396098,1642722227,2022-01-20 23:43:47
14051913,4543747917332627396098,1642808551,2022-01-21 23:42:31
14058513,4544253836836627396098,1642895585,2022-01-22 23:53:05
14064913,4544455069436627396098,1642981094,2022-01-23 23:38:14
14071413,4544595329776627396098,1643068316,2022-01-24 23:51:56
14077813,4544595329776627396098,1643154044,2022-01-25 23:40:44
14084313,4544695329776627396098,1643241315,2022-01-26 23:55:15
14090813,4544695329776627396098,1643327877,2022-01-27 23:57:57
14097213,4544695329776627396098,1643413352,2022-01-28 23:42:32
14103713,4544695329776627396098,1643500148,2022-01-29 23:49:08
14110213,4608667129776627396098,1643586155,2022-01-30 23:42:35
14116713,4608901497746627396098,1643672919,2022-01-31 23:48:39
14123213,4608901497746627396098,1643759260,2022-02-01 23:47:40
14129713,4608901497746627396098,1643846299,2022-02-02 23:58:19
14136113,4609065497746627396098,1643932537,2022-02-03 23:55:37
14142613,4609765497746627396098,1644018011,2022-02-04 23:40:11
14149013,4609765497746627396098,1644104770,2022-02-05 23:46:10
14155613,4609765497746627396098,1644191951,2022-02-06 23:59:11
14162013,4614392010206627396098,1644277499,2022-02-07 23:44:59
14168413,4614392010206627396098,1644363097,2022-02-08 23:31:37
14174913,4614392010206627396098,1644450259,2022-02-09 23:44:19
14181413,4614392010206627396098,1644537477,2022-02-10 23:57:57
14187913,4614624601006627396098,1644623531,2022-02-11 23:52:11
14194413,4634349738871627396098,1644710381,2022-02-12 23:59:41
14200813,4634449738871627396098,1644795790,2022-02-13 23:43:10
14207313,4771880355171655616104,1644882754,2022-02-14 23:52:34
14213813,4771880355171655616104,1644969161,2022-02-15 23:52:41
14220213,4771880355171655616104,1645055418,2022-02-16 23:50:18
14226713,4780391032191655616104,1645141832,2022-02-17 23:50:32
14233113,4780641032191655616104,1645228219,2022-02-18 23:50:19
14239513,4780800115961655616104,1645314424,2022-02-19 23:47:04
14246013,4781087796975757205594,1645400633,2022-02-20 23:43:53
14252513,4784565602975757205594,1645487939,2022-02-21 23:58:59
14258913,4784965602975757205594,1645573187,2022-02-22 23:39:47
14265413,4865152776455757205594,1645659900,2022-02-23 23:45:00
14271913,4865314132234570118546,1645746735,2022-02-24 23:52:15
14278313,4869312411151570118546,1645832700,2022-02-25 23:45:00
14284813,4869312411151570118546,1645919568,2022-02-26 23:52:48
14291313,4869412411151570118546,1646005971,2022-02-27 23:52:51
14297713,4869412411151570118546,1646092106,2022-02-28 23:48:26
14304213,4869412411151570118546,1646178498,2022-03-01 23:48:18
14310613,4869638542931570118546,1646264998,2022-03-02 23:49:58
14317013,4869638542931570118546,1646350406,2022-03-03 23:33:26
14323513,4869638542931570118546,1646437215,2022-03-04 23:40:15
14329913,4869638542931570118546,1646523750,2022-03-05 23:42:30
14336313,4869738542931570118546,1646610030,2022-03-06 23:40:30
14342813,4870238542931570118546,1646697177,2022-03-07 23:52:57
14349213,4870238542931570118546,1646783592,2022-03-08 23:53:12
14355713,4870238542931570118546,1646870014,2022-03-09 23:53:34
