block_number,total_supply,timestamp,time
11727941,0,1611618640,2021-01-25 23:50:40
11734441,0,1611704847,2021-01-26 23:47:27
11740941,0,1611791733,2021-01-27 23:55:33
11747441,0,1611878196,2021-01-28 23:56:36
11753841,0,1611963941,2021-01-29 23:45:41
11760241,0,1612050312,2021-01-30 23:45:12
11766841,0,1612136355,2021-01-31 23:39:15
11773341,0,1612222832,2021-02-01 23:40:32
11779841,0,1612309478,2021-02-02 23:44:38
11786341,0,1612396007,2021-02-03 23:46:47
11792841,0,1612482017,2021-02-04 23:40:17
11799341,0,1612569214,2021-02-05 23:53:34
11805841,0,1612655519,2021-02-06 23:51:59
11812441,0,1612742377,2021-02-07 23:59:37
11818841,0,1612828032,2021-02-08 23:47:12
11825341,0,1612914254,2021-02-09 23:44:14
11831841,0,1613000702,2021-02-10 23:45:02
11838341,0,1613086747,2021-02-11 23:39:07
11844941,0,1613174096,2021-02-12 23:54:56
11851341,0,1613260388,2021-02-13 23:53:08
11857941,0,1613347181,2021-02-14 23:59:41
11864441,0,1613433597,2021-02-15 23:59:57
11870841,0,1613518649,2021-02-16 23:37:29
11877441,15397272000000000,1613606043,2021-02-17 23:54:03
11883841,81720097000000000,1613691780,2021-02-18 23:43:00
11890441,290810158000000000,1613778353,2021-02-19 23:45:53
11896941,550991754000000000,1613864907,2021-02-20 23:48:27
11903441,839538736000000000,1613951465,2021-02-21 23:51:05
11909941,1154676127000000000,1614037976,2021-02-22 23:52:56
11916441,1478871403000000000,1614124232,2021-02-23 23:50:32
11922941,2230754443000000000,1614211160,2021-02-24 23:59:20
11929441,3708129973000000000,1614297355,2021-02-25 23:55:55
11935941,5199110450000000000,1614383292,2021-02-26 23:48:12
11942441,6964625442000000000,1614469713,2021-02-27 23:48:33
11948941,8863537569000000000,1614556574,2021-02-28 23:56:14
11955341,10748856215000000000,1614641987,2021-03-01 23:39:47
11961941,12641295757000000000,1614729073,2021-03-02 23:51:13
11968341,14507103987000000000,1614815283,2021-03-03 23:48:03
11974841,16420286831000000000,1614901390,2021-03-04 23:43:10
11981341,18385499113000000000,1614987490,2021-03-05 23:38:10
11987941,20374316811000000000,1615074312,2021-03-06 23:45:12
11994441,22394270620000000000,1615161118,2021-03-07 23:51:58
12000941,24444824320000000000,1615247508,2021-03-08 23:51:48
12007341,26509588951000000000,1615333415,2021-03-09 23:43:35
12013841,28703431349000000000,1615419519,2021-03-10 23:38:39
12020341,32109958210000000000,1615506970,2021-03-11 23:56:10
12026741,36107481751000000000,1615592558,2021-03-12 23:42:38
12033241,40168245294000000000,1615678900,2021-03-13 23:41:40
12039841,44194787414000000000,1615766220,2021-03-14 23:57:00
12046241,48299535948000000000,1615852167,2021-03-15 23:49:27
12052741,52370652155000000000,1615938001,2021-03-16 23:40:01
12059241,56391745872000000000,1616024853,2021-03-17 23:47:33
12065741,60467829638000000000,1616111266,2021-03-18 23:47:46
12072241,64572834841000000000,1616197596,2021-03-19 23:46:36
12078741,68665139266000000000,1616283414,2021-03-20 23:36:54
12085241,72832878669000000000,1616371073,2021-03-21 23:57:53
12091741,76996377996000000000,1616457588,2021-03-22 23:59:48
12098241,76996377996000000000,1616543905,2021-03-23 23:58:25
12104641,85166447721000000000,1616629355,2021-03-24 23:42:35
12111241,89223191355000000000,1616716711,2021-03-25 23:58:31
12117741,93336494224000000000,1616802713,2021-03-26 23:51:53
12124241,97590350197000000000,1616889170,2021-03-27 23:52:50
12130741,101913553914000000000,1616975710,2021-03-28 23:55:10
12137241,106186417788000000000,1617061960,2021-03-29 23:52:40
12143741,110491888685000000000,1617148125,2021-03-30 23:48:45
12150241,114782199318000000000,1617235164,2021-03-31 23:59:24
12156741,119082178030000000000,1617321317,2021-04-01 23:55:17
12163141,123383767535000000000,1617407005,2021-04-02 23:43:25
12169741,127699122216000000000,1617494387,2021-04-03 23:59:47
12176241,132083477513000000000,1617580008,2021-04-04 23:46:48
12182741,136615712751000000000,1617666357,2021-04-05 23:45:57
12189241,141092278217000000000,1617752849,2021-04-06 23:47:29
12195741,145545236229000000000,1617838866,2021-04-07 23:41:06
12202241,149965814728000000000,1617925887,2021-04-08 23:51:27
12208741,154410501228000000000,1618012771,2021-04-09 23:59:31
12215241,158868652148000000000,1618098182,2021-04-10 23:43:02
12221841,163319856020000000000,1618185287,2021-04-11 23:54:47
12228341,167763486900000000000,1618271402,2021-04-12 23:50:02
12234841,172250026217000000000,1618357978,2021-04-13 23:52:58
12241241,176704742293000000000,1618443822,2021-04-14 23:43:42
12247741,181391925334000000000,1618530315,2021-04-15 23:45:15
12254241,185883967372000000000,1618617558,2021-04-16 23:59:18
12260641,190338314001000000000,1618703113,2021-04-17 23:45:13
12267141,194794807921000000000,1618789286,2021-04-18 23:41:26
12273541,199315570005000000000,1618875896,2021-04-19 23:44:56
12280141,203784134467000000000,1618962305,2021-04-20 23:45:05
12286641,208207308287000000000,1619048860,2021-04-21 23:47:40
12293041,212629545575000000000,1619134784,2021-04-22 23:39:44
12299541,217079368529000000000,1619221844,2021-04-23 23:50:44
12306041,221411858279000000000,1619308227,2021-04-24 23:50:27
12312541,225851811068000000000,1619394647,2021-04-25 23:50:47
12319041,230227729725000000000,1619481229,2021-04-26 23:53:49
12325541,234765891207000000000,1619567926,2021-04-27 23:58:46
12331941,239452883918000000000,1619653345,2021-04-28 23:42:25
12338441,244157283234000000000,1619740084,2021-04-29 23:48:04
12344941,248856323753000000000,1619827172,2021-04-30 23:59:32
12351341,253552561064000000000,1619912134,2021-05-01 23:35:34
12357841,258310175311000000000,1619999882,2021-05-02 23:58:02
12364341,262945690050000000000,1620086217,2021-05-03 23:56:57
12370841,267652993544000000000,1620172534,2021-05-04 23:55:34
12377341,272336816427000000000,1620258656,2021-05-05 23:50:56
12383841,277076942099000000000,1620345517,2021-05-06 23:58:37
12390241,281747045923000000000,1620431300,2021-05-07 23:48:20
12396741,286380044517000000000,1620517955,2021-05-08 23:52:35
