block_number,total_supply,timestamp,time
12654980,0,1623973378,2021-06-17 23:42:58
12661380,0,1624059367,2021-06-18 23:36:07
12667880,0,1624146941,2021-06-19 23:55:41
12674280,0,1624232632,2021-06-20 23:43:52
12680680,0,1624319990,2021-06-21 23:59:50
12687080,0,1624405944,2021-06-22 23:52:24
12693480,0,1624492063,2021-06-23 23:47:43
12699880,0,1624578168,2021-06-24 23:42:48
12706280,0,1624665210,2021-06-25 23:53:30
12712680,0,1624751097,2021-06-26 23:44:57
12719180,0,1624838359,2021-06-27 23:59:19
12725580,0,1624924036,2021-06-28 23:47:16
12731980,0,1625010377,2021-06-29 23:46:17
12738480,0,1625097248,2021-06-30 23:54:08
12744780,0,1625182992,2021-07-01 23:43:12
12751280,0,1625270137,2021-07-02 23:55:37
12757680,0,1625356316,2021-07-03 23:51:56
12764080,0,1625442220,2021-07-04 23:43:40
12770580,0,1625529429,2021-07-05 23:57:09
12776980,0,1625615457,2021-07-06 23:50:57
12783380,0,1625702084,2021-07-07 23:54:44
12789780,0,1625787797,2021-07-08 23:43:17
12796180,0,1625874188,2021-07-09 23:43:08
12802680,0,1625961295,2021-07-10 23:54:55
12809080,0,1626047231,2021-07-11 23:47:11
12815480,0,1626133965,2021-07-12 23:52:45
12821780,0,1626220325,2021-07-13 23:52:05
12828180,0,1626306776,2021-07-14 23:52:56
12834580,0,1626393120,2021-07-15 23:52:00
12840880,0,1626478530,2021-07-16 23:35:30
12847280,0,1626565672,2021-07-17 23:47:52
12853680,0,1626652561,2021-07-18 23:56:01
12860080,0,1626738341,2021-07-19 23:45:41
12866380,0,1626824168,2021-07-20 23:36:08
12872880,0,1626911864,2021-07-21 23:57:44
12879280,0,1626997952,2021-07-22 23:52:32
12885580,0,1627083694,2021-07-23 23:41:34
12892080,0,1627170792,2021-07-24 23:53:12
12898480,0,1627257098,2021-07-25 23:51:38
12904780,0,1627343018,2021-07-26 23:43:38
12911080,0,1627429880,2021-07-27 23:51:20
12917380,0,1627516261,2021-07-28 23:51:01
12923680,0,1627601985,2021-07-29 23:39:45
12929980,0,1627688923,2021-07-30 23:48:43
12936280,0,1627775277,2021-07-31 23:47:57
12942580,0,1627861239,2021-08-01 23:40:39
12948980,0,1627947894,2021-08-02 23:44:54
12955380,0,1628034997,2021-08-03 23:56:37
12961680,0,1628121112,2021-08-04 23:51:52
12967980,0,1628206966,2021-08-05 23:42:46
12974480,0,1628293840,2021-08-06 23:50:40
12980980,0,1628379394,2021-08-07 23:36:34
12987480,0,1628466084,2021-08-08 23:41:24
12993980,0,1628552463,2021-08-09 23:41:03
13000480,0,1628638730,2021-08-10 23:38:50
13006880,0,1628725285,2021-08-11 23:41:25
13013480,0,1628812719,2021-08-12 23:58:39
13019880,0,1628898195,2021-08-13 23:43:15
13026380,0,1628984570,2021-08-14 23:42:50
13032780,0,1629070819,2021-08-15 23:40:19
13039280,0,1629157162,2021-08-16 23:39:22
13045880,0,1629244567,2021-08-17 23:56:07
13052280,0,1629330983,2021-08-18 23:56:23
13058780,0,1629416688,2021-08-19 23:44:48
13065280,0,1629503514,2021-08-20 23:51:54
13071680,0,1629589289,2021-08-21 23:41:29
13078180,0,1629675712,2021-08-22 23:41:52
13084580,0,1629761880,2021-08-23 23:38:00
13091180,0,1629849469,2021-08-24 23:57:49
13097580,0,1629935465,2021-08-25 23:51:05
13104080,0,1630021634,2021-08-26 23:47:14
13110480,0,1630107637,2021-08-27 23:40:37
13116980,0,1630194727,2021-08-28 23:52:07
