block_number,total_supply,timestamp,time
15692446,1000000000000000000,1665100151,2022-10-06 23:49:11
15699646,1000000000000000000,1665187199,2022-10-07 23:59:59
15706746,1000000000000000000,1665272771,2022-10-08 23:46:11
15713946,1000000000000000000,1665359627,2022-10-09 23:53:47
15721046,1000000000000000000,1665445247,2022-10-10 23:40:47
15728246,2000000000000000000,1665532067,2022-10-11 23:47:47
15735446,37200000000000000000,1665618911,2022-10-12 23:55:11
15742546,37200000000000000000,1665704627,2022-10-13 23:43:47
15749746,69199830241521288736,1665791471,2022-10-14 23:51:11
15756946,69199830241521288736,1665878267,2022-10-15 23:57:47
15764046,69199830241521288736,1665963995,2022-10-16 23:46:35
15771246,69299829150389390076,1666050947,2022-10-17 23:55:47
15778346,775722564033486782373,1666136519,2022-10-18 23:41:59
15785546,775722564033486782373,1666223483,2022-10-19 23:51:23
15792746,942829536156604206781,1666310303,2022-10-20 23:58:23
15799846,1527283735721412896353,1666395911,2022-10-21 23:45:11
15807046,1544688917578305679985,1666482719,2022-10-22 23:51:59
15814246,1681043238045731032691,1666569575,2022-10-23 23:59:35
15821346,1889236902634513945048,1666655735,2022-10-24 23:55:35
15828446,1876736746109050134692,1666741511,2022-10-25 23:45:11
15835646,1904129695840537436832,1666828307,2022-10-26 23:51:47
15842846,1953141305395775939340,1666915175,2022-10-27 23:59:35
15849946,1969078269071330420954,1667000951,2022-10-28 23:49:11
15857146,2049669373167807136625,1667087951,2022-10-29 23:59:11
15864246,2281554399278195765349,1667173535,2022-10-30 23:45:35
15871446,2505442582488298858668,1667260391,2022-10-31 23:53:11
15878546,2870503095316215401981,1667346347,2022-11-01 23:45:47
15885746,3073334190842536074348,1667433287,2022-11-02 23:54:47
15892846,2932584705661066916631,1667519027,2022-11-03 23:43:47
15900046,3029024125964599461751,1667605811,2022-11-04 23:50:11
15907246,3102493219624115898305,1667692715,2022-11-05 23:58:35
15914346,3190184318409609515442,1667778311,2022-11-06 23:45:11
15921546,3210337373429060560318,1667865095,2022-11-07 23:51:35
15928746,3096076009126778804964,1667951915,2022-11-08 23:58:35
15935846,3054476233629759962730,1668037763,2022-11-09 23:49:23
15943046,3419653357848989550215,1668124631,2022-11-10 23:57:11
15950146,3556174041839645665529,1668210419,2022-11-11 23:46:59
15957346,3661471186241052668657,1668297203,2022-11-12 23:53:23
15964546,3685326640129045367766,1668383939,2022-11-13 23:58:59
15971646,3712740916607740781105,1668469511,2022-11-14 23:45:11
15978846,3810589045214147865120,1668556523,2022-11-15 23:55:23
15985946,4030340322142395487426,1668642311,2022-11-16 23:45:11
15993146,5246038406062694119074,1668729203,2022-11-17 23:53:23
16000246,5444394328113351461470,1668814883,2022-11-18 23:41:23
16007446,5713695976854312348855,1668901727,2022-11-19 23:48:47
16014646,5819915116602647504504,1668988571,2022-11-20 23:56:11
16021746,5837247863922222603194,1669074215,2022-11-21 23:43:35
16028946,5857730201575727728935,1669161215,2022-11-22 23:53:35
16036046,6116838091316021749456,1669247147,2022-11-23 23:45:47
16043246,6358372710671761068184,1669333979,2022-11-24 23:52:59
16050346,6376060342479682448276,1669419707,2022-11-25 23:41:47
16057546,6638914009980618281331,1669506599,2022-11-26 23:49:59
16064746,6976213342386617315920,1669593491,2022-11-27 23:58:11
16071846,7126629950568546064991,1669678979,2022-11-28 23:42:59
16079046,8401933135243839510237,1669765967,2022-11-29 23:52:47
16086146,8609978994801424612363,1669851755,2022-11-30 23:42:35
16093346,9195880474560657113630,1669938587,2022-12-01 23:49:47
16100546,9509700658757585627360,1670025395,2022-12-02 23:56:35
16107646,10299847485405704333756,1670111039,2022-12-03 23:43:59
16114846,10521019192413971211772,1670197979,2022-12-04 23:52:59
16121946,11232716763638280613769,1670283863,2022-12-05 23:44:23
16129146,12235756589045009788370,1670370623,2022-12-06 23:50:23
16136246,12572094633938689406323,1670457311,2022-12-07 23:55:11
16143346,15213100286165357523616,1670542967,2022-12-08 23:42:47
16150546,15588312969853026638369,1670629967,2022-12-09 23:52:47
16157746,15635839184404687163546,1670716787,2022-12-10 23:59:47
16164846,15897835524302467792383,1670802467,2022-12-11 23:47:47
16172046,16373197875743309086140,1670889395,2022-12-12 23:56:35
16179146,16644002176747068179032,1670975183,2022-12-13 23:46:23
16186346,16625201050001691692334,1671062027,2022-12-14 23:53:47
16193446,17004778138360040494591,1671147755,2022-12-15 23:42:35
